Team,W,L,T,Olympics,WorldCup,Ranking,Revenue,Lat,Lon,Difference,Gender
USWNT,18,0,2,5,4,1,49900000,39.390897,-107.066067,21,F
USMNT,10,2,7,0,0,22,50800000,39.390897,-99.066067,21,M
WGERMANY,9,4,2,1,2,2,0,51.090614,13.382207,13,F
MGERMANY,6,4,3,0,4,15,0,51.090614,10.382207,13,M
WNETHERLANDS,9,2,2,0,0,4,0,53.270329,5.614606,10,F
MNETHERLANDS,8,3,0,0,0,14,0,52.270329,5.614606,10,M
WFRANCE,7,1,2,0,0,3,0,44.623974,2.462247,1,F
MFRANCE,8,2,2,1,2,2,0,46.623974,2.462247,1,M
WSWEDEN,9,2,1,0,0,5,0,60.835373,16.742456,12,F
MSWEDEN,7,3,2,1,0,17,0,62.835373,16.742456,12,M
WENGLAND,7,2,3,0,0,6,0,51.795479,-1.54024,2,F
MENGLAND,5,2,3,2,1,4,0,52.795479,-0.54024,2,M
WAUSTRALIA,8,4,5,0,0,7,0,-32,144.963146,35,F
MAUSTRALIA,5,3,5,0,0,42,0,-38,144.963146,35,M
WCANADA,8,4,0,0,0,8,0,56.511018,-113.908203,65,F
MCANADA,4,2,3,0,0,73,0,56.511018,-105.908203,65,M
WBRAZIL,8,5,0,0,0,8,0,-10.861639,-60.104038,5,F
MBRAZIL,7,1,3,1,5,3,0,-10.861639,-53.104038,5,M
WJAPAN,13,5,2,0,1,11,0,34.652302,138.192093,17,F
MJAPAN,6,4,3,0,0,28,0,36.652302,138.192093,17,M
WBELGIUM,5,2,4,0,0,17,0,50.641949,5.659539,16,F
MBELGIUM,7,0,3,1,0,1,0,50.641949,3.659539,16,M
WURUGUAY,0,4,1,0,0,73,0,-32.804592,-50.028786,68,F
MURUGUAY,2,5,3,2,2,5,0,-32.804592,-56.028786,68,M
WCROATIA,1,3,2,0,0,52,0,46.133049,17.397858,46,F
MCROATIA,5,5,2,0,0,6,0,45.133049,16.397858,46,M
WPORTUGAL,7,3,6,0,0,32,0,41.687378,-7.963023,25,F
MPORTUGAL,11,2,1,0,0,7,0,38.687378,-7.963023,25,M
WSPAIN,10,0,2,0,0,13,0,38.93,-3.4,5,F
MSPAIN,8,0,2,1,1,8,0,40.93,-3.4,5,M
